#{"t_start": 1777539009.2851279, "env_id": "None"}
r,l,t
-0.129293,16,6.790074
-0.293003,42,6.79571
-0.167079,20,6.799269
-0.068509,6,6.800091
-0.169841,13,6.801843
-0.064669,9,6.803065
-0.082831,8,6.804148
-0.142932,21,6.806986
-0.201185,37,6.811927
-0.084533,9,6.813138
-0.08117,8,6.814219
-0.130222,10,6.815607
-0.097329,10,6.817071
-0.20067,26,6.820613
-0.127587,13,6.822384
-0.225153,31,6.826587
-0.080402,12,6.828285
-0.151734,12,6.829952
-0.123079,9,6.831183
-0.194681,25,6.834772
-0.104207,11,6.836305
-0.272509,39,6.84156
-0.125609,20,6.844245
-0.184168,23,6.847377
-0.087204,11,6.848974
-0.176262,31,6.853115
-0.238648,21,6.85593
-0.119425,9,6.857145
-0.126914,15,6.859142
-0.100255,15,6.86119
-0.07771,12,6.862831
-0.132946,12,6.864525
-0.171062,20,6.867246
-0.164026,26,6.8708
-0.1316,9,6.872087
-0.086038,6,6.872936
-0.13395,15,6.874972
-0.158861,26,6.878604
-0.080148,11,6.880167
-0.166821,19,6.882874
-0.179057,16,6.885068
-0.123331,15,6.887096
-0.109956,9,6.888316
-0.114079,10,6.889701
-0.315936,35,6.894365
-0.132285,14,6.896267
-0.150698,13,6.898112
-0.1941,28,6.901901
-0.12311,10,6.903266
-0.241014,17,6.905626
-0.110535,9,6.906884
-0.125564,8,6.908018
-0.10324,8,6.909114
-0.088099,11,6.910596
-0.340606,50,6.917281
-0.123563,13,6.919045
-0.359327,53,6.926388
-0.094969,15,6.928489
-0.068674,6,6.929366
-0.121327,14,6.931265
